Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
1	15	2500	500	0	0	1	1	0
2	15	2500	500	0	0	1	1	0
3	15	2500	500	0	0	1	1	0
4	15	2500	500	0	0	1	1	0
5	15	2500	500	0	0	1	1	0
6	15	2500	500	0	0	1	1	0
7	15	2500	500	0	0	1	1	0
8	15	2500	500	0	0	1	1	0
9	15	2500	500	0	0	1	1	0
10	15	2500	500	0	0	1	1	0
11	15	2500	500	0	0	1	1	0
12	15	2500	500	0	0	1	1	0
13	15	2500	500	0	0	1	1	0
14	15	2500	500	0	0	1	1	0
15	15	2500	500	0	0	1	1	0
16	15	2500	500	0	0	1	1	0
17	15	2500	500	0	0	1	1	0
18	15	2500	500	0	0	1	1	0
19	15	2500	500	0	0	1	1	0
20	15	2500	500	0	0	1	1	0
21	15	2500	500	0	0	1	1	0
22	15	2500	500	0	0	1	1	0
23	15	2500	500	0	0	1	1	0
24	15	2500	500	0	0	1	1	0
25	15	2500	500	0	0	1	1	0
26	15	2500	500	0	0	1	1	0
27	15	2500	500	0	0	1	1	0
28	15	2500	500	0	0	1	1	0
29	15	2500	500	0	0	1	1	0
30	15	2500	500	0	0	1	1	0
31	15	2500	500	0	0	1	1	0
32	15	2500	500	0	0	1	1	0
33	15	2500	500	0	0	1	1	0
34	15	2500	500	0	0	1	1	0
35	15	2500	500	0	0	1	1	0
36	15	2500	500	0	0	1	1	0
37	15	2500	500	0	0	1	1	0
38	15	2500	500	0	0	1	1	0
39	15	2500	500	0	0	1	1	0
40	15	2500	500	0	0	1	1	0
41	15	2500	500	0	0	1	1	0
42	15	2500	500	0	0	1	1	0
43	15	2500	500	0	0	1	1	0
44	15	2500	500	0	0	1	1	0
45	15	2500	500	0	0	1	1	0
46	15	2500	500	0	0	1	1	0
47	15	2500	500	0	0	1	1	0
48	15	2500	500	0	0	1	1	0
49	15	2500	500	0	0	1	1	0
50	15	2500	500	0	0	1	1	0
1	8	526	500	0	0	1	1	0
2	8	526	500	0	0	1	1	0
3	8	526	500	0	0	1	1	0
4	8	526	500	0	0	1	1	0
5	8	526	500	0	0	1	1	0
6	8	526	500	0	0	1	1	0
7	8	526	500	0	0	1	1	0
8	8	526	500	0	0	1	1	0
9	8	526	500	0	0	1	1	0
10	8	526	500	0	0	1	1	0
11	8	526	500	0	0	1	1	0
12	8	526	500	0	0	1	1	0
13	8	526	500	0	0	1	1	0
14	8	526	500	0	0	1	1	0
15	8	526	500	0	0	1	1	0
16	8	526	500	0	0	1	1	0
17	8	526	500	0	0	1	1	0
18	8	526	500	0	0	1	1	0
19	8	526	500	0	0	1	1	0
20	8	526	500	0	0	1	1	0
21	8	526	500	0	0	1	1	0
22	8	526	500	0	0	1	1	1
23	8	526	500	0	0	1	1	1
24	8	526	500	0	0	1	1	1
25	8	526	500	0	0	1	1	1
26	8	526	500	0	0	1	1	1
27	8	526	500	0	0	1	1	1
28	8	526	500	0	0	1	1	1
29	8	526	500	0	0	1	1	1
30	8	526	500	0	0	1	1	1
31	8	526	500	0	0	1	1	1
32	8	526	500	0	0	1	1	1
33	8	526	500	0	0	1	1	1
34	8	526	500	0	0	1	1	1
35	8	526	500	0	0	1	1	1
36	8	526	500	0	0	1	1	1
37	8	526	500	0	0	1	1	1
38	8	526	500	0	0	1	1	1
39	8	526	500	0	0	1	1	1
40	8	526	500	0	0	1	1	1
41	8	526	500	0	0	1	1	1
42	8	526	500	0	0	1	1	1
43	8	526	500	0	0	1	1	1
44	8	526	500	0	0	1	1	1
45	8	526	500	0	0	1	1	1
46	8	526	500	0	0	1	1	1
